Table 3-54:  HF Completions National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HF Completions – Non-REC with Venting,3,3,3,3,2,2,3,3,2,2,2,3,2,3,4,4,6,6,7,4,6,7,7,5,4,1,+,+,+,+,+,+,+
HF Completions – Non-REC with Flaring,155,153,153,162,125,148,157,201,150,97,159,167,139,175,205,240,305,318,461,316,542,723,837,932,1075,641,281,388,485,762,355,262,131
HF Completions - REC with Venting,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,+,+,1,1,1,2,2,1,+,+,+,+,+,+,+
HF Completions - REC with Flaring,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,188,249,580,1177,1844,2265,2724,1873,1230,1333,2165,1278,441,338,141
Total Emissions,157,155,156,165,128,151,160,205,152,98,161,170,142,178,209,244,311,324,656,569,1128,1908,2689,3204,3804,2516,1511,1721,2651,2041,797,601,272
Previous Estimate,119,120,121,129,101,96,110,141,101,75,90,113,88,119,135,168,206,207,440,355,745,1492,2440,2931,3517,2312,1333,1816,3174,2431,836,466,NA
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
