Table ES-5:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
Transportation,1521.4,1474.8,1533.8,1570.2,1624.5,1659.1,1714.6,1740.5,1782.7,1853.6,1903.7,1875.4,1916.2,1923.7,1956.2,1965.9,1966.3,1967.2,1863.4,1789.0,1795.1,1762.4,1743.5,1746.8,1781.0,1789.4,1824.5,1841.9,1871.6,1874.6,1625.3,1805.5,1801.5,0.2
Electric Power Industry,1880.2,1874.4,1889.6,1965.0,1989.6,2006.0,2078.4,2143.8,2230.1,2243.5,2350.1,2310.8,2326.5,2358.0,2391.1,2457.4,2402.4,2468.3,2415.2,2198.7,2313.1,2210.2,2072.7,2091.0,2091.0,1951.7,1859.3,1779.4,1799.2,1650.8,1482.2,1584.4,1577.5,-0.2
Industry,1723.3,1702.9,1729.3,1701.0,1719.7,1741.8,1762.1,1765.4,1757.8,1703.9,1699.1,1631.4,1613.8,1593.6,1639.8,1587.3,1624.5,1611.6,1571.7,1415.5,1488.6,1488.4,1473.2,1533.8,1526.9,1506.1,1456.2,1478.4,1541.9,1531.8,1435.9,1455.8,1452.5,-0.2
Agriculture,595.9,587.4,587.5,608.7,612.2,618.1,625.7,610.7,621.0,615.0,607.2,622.4,628.4,627.7,633.5,634.3,638.7,654.9,643.0,639.8,647.1,641.2,624.4,658.5,660.9,657.4,650.4,658.5,683.5,661.0,640.0,645.9,634.0,0.1
Commercial,447.0,454.5,450.0,443.1,446.1,444.5,451.6,442.9,416.3,411.8,425.6,414.1,415.3,431.7,429.1,418.9,404.9,418.4,425.3,428.3,430.6,425.5,406.5,429.2,439.4,451.7,435.6,437.4,453.5,462.6,436.9,443.7,463.7,0.0
Residential,345.6,355.3,361.8,373.1,363.8,367.3,399.1,380.4,346.5,366.3,387.6,377.8,375.1,393.7,381.9,371.2,334.4,355.3,363.8,353.9,355.0,348.9,306.5,357.2,377.6,350.7,327.0,329.2,376.8,384.2,358.0,369.6,391.3,0.1
U.S. Territories,23.4,23.5,24.4,25.3,26.8,25.3,24.7,25.3,24.6,24.5,46.5,55.5,54.6,58.5,60.6,59.7,58.0,54.2,43.8,41.8,36.5,35.2,34.2,28.9,29.1,29.3,27.0,26.3,26.3,25.1,23.4,23.9,22.7,0.0
Total Gross Emissions (Sources),6536.9,6472.7,6576.4,6686.5,6782.6,6862.1,7056.3,7109.0,7179.0,7218.6,7419.9,7287.3,7329.9,7386.9,7492.3,7494.6,7429.2,7529.9,7326.4,6866.9,7066.0,6911.8,6660.9,6845.4,6905.9,6736.2,6580.0,6551.0,6752.7,6590.1,6001.8,6328.8,6343.2,0.0
LULUCF Sector Net Totala,-976.7,-989.0,-1007.4,-991.3,-1005.2,-980.2,-1011.2,-985.2,-996.3,-968.5,-983.7,-979.8,-924.8,-957.9,-860.2,-907.7,-951.9,-900.3,-912.8,-850.9,-886.3,-941.7,-929.2,-886.6,-923.7,-820.2,-916.8,-926.0,-915.5,-863.6,-904.4,-910.6,-854.2,-0.1
Net Emissions (Sources and Sinks),5560.2,5483.7,5569.0,5695.1,5777.4,5881.9,6045.1,6123.8,6182.7,6250.2,6436.2,6307.6,6405.1,6429.0,6632.1,6586.9,6477.2,6629.6,6413.5,6016.0,6179.7,5970.0,5731.7,5958.8,5982.2,5916.0,5663.2,5625.0,5837.3,5726.6,5097.4,5418.2,5489.0,0.0
a The LULUCF sector net total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus LULUCF net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Total (gross) emissions are presented without LULUCF. Total net emissions are presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
