Table 3-5:  CO2 Emissions from Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Coal,1719.8,1715.8,1733.0,1798.3,1805.0,1820.4,1905.2,1950.5,1979.4,1979.4,2065.2,2010.0,2019.7,2061.0,2076.3,2113.7,2078.5,2107.8,2075.5,1837.6,1931.2,1817.6,1597.3,1658.0,1654.8,1427.5,1310.8,1270.1,1211.6,1028.1,835.6,957.4,898.8
Residential,3.0,2.4,2.5,2.5,2.0,1.7,1.6,1.5,1.1,1.3,1.1,1.1,1.2,1.2,1.1,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, NO , NO , NO , NO , NO 
Commercial,12.0,11.1,11.3,11.3,11.3,11.2,11.6,12.3,8.9,9.8,8.8,9.2,8.6,7.8,9.8,9.3,6.2,6.7,7.6,6.9,6.6,5.8,4.1,3.9,3.8,3.0,2.3,2.0,1.8,1.6,1.4,1.4,1.4
Industrial,157.8,154.6,150.3,152.5,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86.0,78.2,79.5,79.0,69.8,63.2,58.7,54.4,49.4,43.0,43.0,43.0
Transportation, NO ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO, NO ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO, NO , NO , NO , NO , NO 
Electric Power,1546.5,1547.2,1568.5,1631.6,1637.9,1659.9,1751.5,1796.0,1827.1,1835.4,1926.4,1868.8,1888.9,1930.0,1942.0,1982.8,1952.7,1986.2,1958.4,1740.2,1827.2,1722.4,1511.7,1571.3,1568.6,1351.4,1242.0,1207.1,1152.9,973.5,788.2,910.1,851.5
U.S. Territories,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,2.0,2.7,2.9,3,3.4,3.4,3.4,3.4,3.2,3.4,3.3,3.3,3.4,3.3,3.3,2.3,2.6,3.6,3.1,2.9,2.9
Natural Gas,998.6,1020.9,1054.3,1081.8,1106.6,1155.0,1176.3,1182.5,1158.7,1162.9,1218.6,1169.4,1207.9,1177.0,1182.8,1166.2,1151.0,1225.0,1235.9,1214.2,1273.1,1292.8,1352.8,1390.8,1419.1,1455.4,1461.3,1433.2,1592.0,1649.2,1615.7,1622.1,1706.8
Residential,237.8,247.3,254.6,268.2,262.9,262.8,284.0,270.1,246.1,256.4,270.8,259.2,265.1,276.2,264.2,262.2,237.3,256.4,265.7,259.1,258.9,255.1,225.1,266.4,277.7,252.7,238.4,241.5,273.8,275.5,256.4,258.6,272.0
Commercial,142.0,148.1,152.1,154.9,157.0,164.2,171.1,174.3,163.3,165.2,172.5,164.2,170.5,172.9,169.8,162.9,153.8,163.6,171.2,169.1,168.0,170.7,157.0,179.2,189.2,175.4,170.5,173.2,192.5,192.9,173.5,180.4,192.3
Industrial,407.4,413.6,429.3,437.0,438.2,461.5,477.2,477.9,466.2,445.6,458.2,420.6,428.1,415.1,418.9,387.8,387.4,397.0,398.7,374.2,407.1,417.2,433.9,450.9,465.9,459.6,464.0,468.1,493.5,501.5,489.7,501.2,510.4
Transportation,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47.0,40.2,39.4,40.1,42.3,50.9,58.9,58.7,65.2,70.2
Electric Power,175.4,179.0,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306.0,278.1,296.8,318.9,338.0,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545.0,505.6,577.9,616.6,634.8,612.8,659.3
U.S. Territories, NO ,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.6,1.5,1.5,1.4,2.6,3.1,3.2,3.0,3.4,2.5,3.3,3.8,2.6,3.9,2.7
Petroleum ,2033.3,1968.7,2013.6,2037.0,2069.6,2062.0,2133.2,2142.3,2193.8,2243.9,2336.6,2347.5,2340.4,2400.3,2458.1,2463.8,2426.7,2408.1,2246.0,2136.1,2134.9,2096.0,2041.9,2065.6,2098.5,2119.7,2133.8,2141.3,2184.2,2174.9,1890.0,2074.4,2093.4
Residential,97.8,98.0,96.9,95.4,92.1,88.7,97.9,93.4,84.4,93.2,99.8,102.7,94.9,102.8,103.8,95.9,83.8,84.0,82.2,76.9,75.6,71.3,57.4,62.9,69.1,64.9,54.8,52.5,65.1,67.4,58.4,59.4,62.1
Commercial,74.3,73.4,64.6,56.9,56.4,52.4,54.8,51.3,47.9,45.8,55.3,55.0,50.0,59.4,58.4,54.9,51.7,52.8,48.7,51.7,49.7,48.0,39.3,41.2,39.5,66.4,59.1,57.2,52.0,57.2,54.4,55.7,65.1
Industrial,311.2,298.5,309.6,301.7,299.2,298.8,309.4,303.7,297.7,285.5,300.6,315.8,310.8,317.9,338.1,342,365.4,350.9,320.2,290.6,289.8,290.2,281.8,295.3,275.9,263.5,261.1,253.5,262.6,258.9,229.3,236.3,247.6
Transportation,1432.9,1389.5,1445.4,1474.5,1516.4,1542.3,1588.3,1602.1,1643.6,1710.5,1756.6,1727.6,1765.9,1778.7,1813.3,1825.5,1826.0,1825.6,1723.0,1650.6,1658.5,1631.4,1618.0,1622.0,1667.1,1679.0,1717.8,1738.1,1762.2,1757.7,1514.2,1688.4,1681.1
Electric Power,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53.0,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2,17.7,20.5
U.S. Territories,19.5,18.7,21.6,22.2,24.3,21.1,19.3,19.6,19.0,15.1,35.9,47.8,41.9,46.3,48.7,47.6,46.5,41.8,33.5,34.1,29.8,29.2,27.1,21.8,21.6,22.2,19.5,21.1,20.1,17.5,17.5,17.0,17.0
Geothermal a,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Electric Power,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Total,4752.2,4705.9,4801.4,4917.7,4981.7,5037.8,5215.2,5275.8,5332.3,5386.8,5620.9,5527.4,5568.5,5638.7,5717.7,5744.1,5656.7,5741.4,5557.8,5188.3,5339.6,5206.8,4992.5,5114.8,5172.9,5002.9,4906.3,4845.1,4988.2,4852.6,4341.7,4654.3,4699.4
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Although not technically a fossil fuel, geothermal energy-related CO2 emissions are included for reporting purposes. The source of CO2 is non-condensable gases in subterranean heated water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
