Table 3-50:  Approach 2 Quantitative Uncertainty Estimates for CH4 and CO2 Emissions from Petroleum Systems (MMT CO2 Eq. and Percent) ,,,,,,
Source,Gas,2022 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.)b,(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
Petroleum Systems,CH4,39.6,32.7,48.6,-18%,23%
Petroleum Systems,CO2,22,17.9,27.4,-19%,25%
Petroleum Systems,N2O,0.048,0.039,0.059,-19%,25%
a Range of emission estimates estimated by applying the 95 percent confidence intervals obtained from the Monte Carlo Simulation analysis conducted for the year 2022 CH4 and CO2 emissions.,,,,,,
"b All reported values are rounded after calculation. As a result, lower and upper bounds may not be duplicable from other rounded values as shown in table.",,,,,,
